node,x,y,latitude,longitude
9931541,444406,4399384.5,39.7425483,-123.648858
9966389,446126,4399376.5,39.7425867,-123.628784
9973185,444640,4399374.5,39.7424734,-123.646126
10001064,443532,4399367.5,39.7423377,-123.659057
10055090,443725,4399354.5,39.7422333,-123.656803
10056550,445185,4399354.5,39.7423285,-123.639764
10080823,444612,4399348.5,39.7422374,-123.646451
10103971,447055,4399343.5,39.7423476,-123.617939
10115621,446282,4399340.5,39.7422722,-123.62696
10120625,443004,4399338.5,39.7420413,-123.665216
10127944,446182,4399337.5,39.7422389,-123.628127
10142736,444410,4399333.5,39.7420891,-123.648807
10167562,444390,4399327.5,39.7420337,-123.64904
10169454,446282,4399327.5,39.7421551,-123.626959
10171653,444340,4399326.5,39.7420214,-123.649624
10176691,445237,4399325.5,39.7420705,-123.639155
10233965,444537,4399311.5,39.7418991,-123.647323
10262931,444516,4399304.5,39.7418347,-123.647568
10274652,443814,4399301.5,39.7417617,-123.65576
10299720,444036,4399295.5,39.7417222,-123.653169
10302393,446709,4399295.5,39.7418936,-123.621973
10389293,446648,4399274.5,39.7417006,-123.622684
10406898,443548,4399269.5,39.7414558,-123.658862
10449202,444442,4399259.5,39.7414245,-123.648427
10568457,443608,4399230.5,39.7411084,-123.658158
10575129,446139,4399229.5,39.7412631,-123.62862
10578223,445092,4399228.5,39.7411873,-123.640839
10633644,446680,4399215.5,39.741171,-123.622305
10648398,444870,4399211.5,39.7410198,-123.643428
10648606,445078,4399211.5,39.7410332,-123.641001
10662799,446848,4399208.5,39.7411184,-123.620344
10668087,443854,4399206.5,39.7409084,-123.655285
10680645,443989,4399203.5,39.7408903,-123.653709
10695733,446654,4399200.5,39.7410342,-123.622607
10698356,445136,4399199.5,39.7409288,-123.640323
10753179,446126,4399186.5,39.7408749,-123.628768
10803481,446736,4399174.5,39.7408051,-123.621648
10818696,445387,4399170.5,39.7406837,-123.637391
10887751,444045,4399153.5,39.7404435,-123.653052
10910078,445667,4399148.5,39.7405034,-123.634122
10916761,444068,4399146.5,39.7403819,-123.652783
10937056,443658,4399141.5,39.7403099,-123.657567
10938709,445311,4399141.5,39.7404175,-123.638276
10963768,445524,4399135.5,39.7403771,-123.63579
10975187,444520,4399132.5,39.7402853,-123.647506
10987027,443937,4399129.5,39.7402201,-123.65431
10989638,446548,4399129.5,39.7403879,-123.623839
11000826,445313,4399126.5,39.7402825,-123.638251
11031679,443038,4399118.5,39.7400614,-123.664801
11057267,443780,4399112.5,39.7400566,-123.656141
11064256,446628,4399111.5,39.7402307,-123.622904
